#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
688	1379.891	3	0.0045045
689	1381.933	5	0.00750751
690	1383.975	1	0.0015015
691	1386.017	3	0.0045045
692	1388.060	2	0.003003
693	1390.102	3	0.0045045
694	1392.144	3	0.0045045
695	1394.186	2	0.003003
696	1396.228	3	0.0045045
697	1398.270	2	0.003003
698	1400.313	4	0.00600601
699	1402.355	4	0.00600601
700	1404.397	4	0.00600601
701	1406.439	1	0.0015015
702	1408.481	3	0.0045045
703	1410.523	7	0.0105105
704	1412.566	4	0.00600601
705	1414.608	3	0.0045045
706	1416.650	6	0.00900901
707	1418.692	1	0.0015015
708	1420.734	3	0.0045045
709	1422.776	6	0.00900901
710	1424.819	2	0.003003
711	1426.861	1	0.0015015
712	1428.903	3	0.0045045
713	1430.945	3	0.0045045
714	1432.987	6	0.00900901
715	1435.029	3	0.0045045
716	1437.072	2	0.003003
717	1439.114	4	0.00600601
718	1441.156	3	0.0045045
719	1443.198	6	0.00900901
720	1445.240	7	0.0105105
721	1447.282	3	0.0045045
722	1449.325	5	0.00750751
723	1451.367	3	0.0045045
724	1453.409	3	0.0045045
725	1455.451	3	0.0045045
726	1457.493	5	0.00750751
727	1459.535	7	0.0105105
728	1461.578	6	0.00900901
729	1463.620	3	0.0045045
730	1465.662	6	0.00900901
731	1467.704	2	0.003003
732	1469.746	1	0.0015015
733	1471.788	3	0.0045045
734	1473.831	1	0.0015015
735	1475.873	3	0.0045045
736	1477.915	3	0.0045045
737	1479.957	6	0.00900901
738	1481.999	1	0.0015015
739	1484.041	8	0.012012
740	1486.084	0	0
741	1488.126	1	0.0015015
742	1490.168	1	0.0015015
743	1492.210	5	0.00750751
744	1494.252	1	0.0015015
745	1496.294	3	0.0045045
746	1498.337	1	0.0015015
747	1500.379	3	0.0045045
748	1502.421	3	0.0045045
749	1504.463	0	0
750	1506.505	4	0.00600601
751	1508.547	1	0.0015015
752	1510.590	3	0.0045045
753	1512.632	2	0.003003
754	1514.674	4	0.00600601
755	1516.716	2	0.003003
756	1518.758	3	0.0045045
757	1520.800	1	0.0015015
758	1522.843	2	0.003003
759	1524.885	2	0.003003
760	1526.927	1	0.0015015
761	1528.969	3	0.0045045
762	1531.011	2	0.003003
763	1533.053	1	0.0015015
764	1535.096	1	0.0015015
765	1537.138	3	0.0045045
766	1539.180	4	0.00600601
767	1541.222	4	0.00600601
768	1543.264	2	0.003003
769	1545.306	3	0.0045045
770	1547.349	5	0.00750751
771	1549.391	2	0.003003
772	1551.433	5	0.00750751
773	1553.475	3	0.0045045
774	1555.517	4	0.00600601
775	1557.559	1	0.0015015
776	1559.602	4	0.00600601
777	1561.644	0	0
778	1563.686	0	0
779	1565.728	4	0.00600601
780	1567.770	6	0.00900901
781	1569.812	3	0.0045045
782	1571.855	2	0.003003
783	1573.897	0	0
784	1575.939	1	0.0015015
785	1577.981	3	0.0045045
786	1580.023	3	0.0045045
787	1582.065	2	0.003003
788	1584.108	2	0.003003
789	1586.150	1	0.0015015
790	1588.192	7	0.0105105
791	1590.234	1	0.0015015
792	1592.276	0	0
793	1594.318	2	0.003003
794	1596.361	0	0
795	1598.403	2	0.003003
796	1600.445	1	0.0015015
797	1602.487	2	0.003003
798	1604.529	1	0.0015015
799	1606.571	2	0.003003
800	1608.614	0	0
801	1610.656	5	0.00750751
802	1612.698	0	0
803	1614.740	2	0.003003
804	1616.782	1	0.0015015
805	1618.824	3	0.0045045
806	1620.867	5	0.00750751
807	1622.909	0	0
808	1624.951	2	0.003003
809	1626.993	2	0.003003
810	1629.035	2	0.003003
811	1631.077	2	0.003003
812	1633.120	1	0.0015015
813	1635.162	0	0
814	1637.204	3	0.0045045
815	1639.246	0	0
816	1641.288	1	0.0015015
817	1643.330	4	0.00600601
818	1645.373	2	0.003003
819	1647.415	0	0
820	1649.457	5	0.00750751
821	1651.499	4	0.00600601
822	1653.541	2	0.003003
823	1655.583	1	0.0015015
824	1657.626	6	0.00900901
825	1659.668	3	0.0045045
826	1661.710	4	0.00600601
827	1663.752	2	0.003003
828	1665.794	2	0.003003
829	1667.836	2	0.003003
