#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
651	1304.331	977	3.25667
652	1306.373	989	3.29667
653	1308.415	949	3.16333
654	1310.457	948	3.16
655	1312.499	987	3.29
656	1314.541	1009	3.36333
657	1316.584	966	3.22
658	1318.626	990	3.3
659	1320.668	1029	3.43
660	1322.710	949	3.16333
661	1324.752	961	3.20333
662	1326.794	975	3.25
663	1328.837	939	3.13
664	1330.879	973	3.24333
665	1332.921	995	3.31667
666	1334.963	917	3.05667
667	1337.005	915	3.05
668	1339.047	920	3.06667
669	1341.090	908	3.02667
670	1343.132	961	3.20333
671	1345.174	929	3.09667
672	1347.216	911	3.03667
673	1349.258	899	2.99667
674	1351.300	889	2.96333
675	1353.343	829	2.76333
676	1355.385	842	2.80667
677	1357.427	883	2.94333
678	1359.469	898	2.99333
679	1361.511	852	2.84
680	1363.554	842	2.80667
681	1365.596	850	2.83333
682	1367.638	864	2.88
683	1369.680	797	2.65667
684	1371.722	805	2.68333
685	1373.764	712	2.37333
686	1375.807	770	2.56667
687	1377.849	765	2.55
688	1379.891	759	2.53
689	1381.933	735	2.45
690	1383.975	745	2.48333
691	1386.017	714	2.38
692	1388.060	736	2.45333
693	1390.102	740	2.46667
694	1392.144	728	2.42667
695	1394.186	742	2.47333
696	1396.228	726	2.42
697	1398.270	815	2.71667
698	1400.313	779	2.59667
699	1402.355	775	2.58333
700	1404.397	853	2.84333
701	1406.439	854	2.84667
702	1408.481	912	3.04
703	1410.523	953	3.17667
704	1412.566	937	3.12333
705	1414.608	988	3.29333
706	1416.650	1031	3.43667
707	1418.692	1085	3.61667
708	1420.734	1134	3.78
709	1422.776	1219	4.06333
710	1424.819	1262	4.20667
711	1426.861	1309	4.36333
712	1428.903	1408	4.69333
713	1430.945	1502	5.00667
714	1432.987	1605	5.35
715	1435.029	1708	5.69333
716	1437.072	1775	5.91667
717	1439.114	1944	6.48
718	1441.156	2052	6.84
719	1443.198	2126	7.08667
720	1445.240	2228	7.42667
721	1447.282	2390	7.96667
722	1449.325	2407	8.02333
723	1451.367	2503	8.34333
724	1453.409	2681	8.93667
725	1455.451	2898	9.66
726	1457.493	2920	9.73333
727	1459.535	3064	10.2133
728	1461.578	3131	10.4367
729	1463.620	3331	11.1033
730	1465.662	3230	10.7667
731	1467.704	3501	11.67
732	1469.746	3480	11.6
733	1471.788	3570	11.9
734	1473.831	3515	11.7167
735	1475.873	3698	12.3267
736	1477.915	3803	12.6767
737	1479.957	3716	12.3867
738	1481.999	3710	12.3667
739	1484.041	3698	12.3267
740	1486.084	3675	12.25
741	1488.126	3676	12.2533
742	1490.168	3736	12.4533
743	1492.210	3661	12.2033
744	1494.252	3458	11.5267
745	1496.294	3467	11.5567
746	1498.337	3386	11.2867
747	1500.379	3353	11.1767
748	1502.421	3186	10.62
749	1504.463	3079	10.2633
750	1506.505	2950	9.83333
751	1508.547	2789	9.29667
752	1510.590	2512	8.37333
753	1512.632	2616	8.72
754	1514.674	2344	7.81333
755	1516.716	2318	7.72667
756	1518.758	2171	7.23667
757	1520.800	1987	6.62333
758	1522.843	1886	6.28667
759	1524.885	1736	5.78667
760	1526.927	1632	5.44
761	1528.969	1441	4.80333
762	1531.011	1365	4.55
763	1533.053	1259	4.19667
764	1535.096	1170	3.9
765	1537.138	1106	3.68667
766	1539.180	954	3.18
767	1541.222	905	3.01667
768	1543.264	823	2.74333
769	1545.306	716	2.38667
770	1547.349	713	2.37667
771	1549.391	654	2.18
772	1551.433	569	1.89667
773	1553.475	530	1.76667
774	1555.517	461	1.53667
775	1557.559	437	1.45667
776	1559.602	381	1.27
777	1561.644	374	1.24667
778	1563.686	329	1.09667
779	1565.728	315	1.05
780	1567.770	330	1.1
781	1569.812	300	1
782	1571.855	310	1.03333
783	1573.897	302	1.00667
784	1575.939	316	1.05333
785	1577.981	315	1.05
786	1580.023	278	0.926667
787	1582.065	302	1.00667
788	1584.108	289	0.963333
789	1586.150	302	1.00667
790	1588.192	335	1.11667
791	1590.234	318	1.06
792	1592.276	323	1.07667
793	1594.318	388	1.29333
794	1596.361	378	1.26
795	1598.403	429	1.43
796	1600.445	414	1.38
797	1602.487	468	1.56
798	1604.529	490	1.63333
799	1606.571	498	1.66
800	1608.614	528	1.76
801	1610.656	560	1.86667
802	1612.698	658	2.19333
803	1614.740	707	2.35667
804	1616.782	751	2.50333
805	1618.824	816	2.72
806	1620.867	871	2.90333
807	1622.909	918	3.06
808	1624.951	957	3.19
809	1626.993	1083	3.61
810	1629.035	1108	3.69333
811	1631.077	1256	4.18667
812	1633.120	1254	4.18
813	1635.162	1370	4.56667
814	1637.204	1467	4.89
815	1639.246	1555	5.18333
816	1641.288	1680	5.6
817	1643.330	1747	5.82333
818	1645.373	1776	5.92
819	1647.415	1988	6.62667
820	1649.457	2040	6.8
821	1651.499	2086	6.95333
822	1653.541	2314	7.71333
823	1655.583	2369	7.89667
